"","Date","Time","nObs"
"339",2019-08-09,2020-07-11 20:51:00,"1"
"340",2019-08-12,2020-07-11 20:16:00,"1"
"341",2019-08-12,2020-07-11 20:24:00,"1"
"342",2019-08-12,2020-07-11 20:28:00,"1"
"343",2019-08-12,2020-07-11 20:35:00,"1"
"344",2019-08-12,2020-07-11 20:36:00,"1"
"345",2019-08-12,2020-07-11 20:37:00,"2"
"346",2019-08-12,2020-07-11 20:41:00,"1"
"347",2019-08-12,2020-07-11 20:46:00,"1"
"348",2019-08-12,2020-07-11 20:48:00,"1"
"349",2019-08-12,2020-07-11 20:51:00,"1"
"350",2019-08-18,2020-07-11 20:01:00,"1"
"351",2019-08-18,2020-07-11 20:20:00,"1"
"352",2019-08-18,2020-07-11 20:27:00,"1"
"353",2019-08-18,2020-07-11 20:28:00,"1"
"354",2019-08-18,2020-07-11 20:29:00,"1"
"355",2019-08-18,2020-07-11 20:30:00,"1"
"356",2019-08-18,2020-07-11 20:31:00,"1"
"357",2019-08-18,2020-07-11 20:32:00,"1"
"358",2019-08-18,2020-07-11 20:36:00,"1"
"359",2019-08-18,2020-07-11 20:37:00,"1"
"360",2019-08-21,2020-07-11 20:13:00,"1"
"361",2019-08-21,2020-07-11 20:24:00,"1"
"362",2019-08-21,2020-07-11 20:25:00,"1"
"363",2019-08-21,2020-07-11 20:27:00,"1"
"364",2019-08-21,2020-07-11 20:28:00,"1"
"365",2019-08-28,2020-07-11 20:03:00,"1"
"365",2019-08-28,2020-07-11 20:08:00,"1"
"365",2019-08-28,2020-07-11 20:09:00,"1"
